user_id,joinedDate,joinedCourses,skills,desired_skills,isVerified,engagement_level,peer_user_id
1,2022-08-28,"Machine Learning, CSS, Excel, SQL, HTML","HTML, SQL","CSS, Java, Machine Learning, Blockchain, Data Science",False,Medium,3383
2,2023-12-04,"Data Science, Excel, Python, JavaScript","HTML, CSS, JavaScript, Excel, SQL","JavaScript, Python, Java, Node.js, AI",True,Medium,5095
3,2023-04-10,"JavaScript, Python, Excel, Java","HTML, CSS, Java","CSS, SQL, Node.js",True,Low,16
4,2022-01-30,"AI, Machine Learning, Excel","HTML, Excel, SQL, Java, Blockchain","SQL, Node.js, Machine Learning, Blockchain, Data Science",True,Medium,7535
5,2022-09-07,Python,"CSS, JavaScript, AI","HTML, CSS, Java, AI, Blockchain",False,Low,1039
6,2022-02-12,"CSS, Java","HTML, JavaScript, Excel","JavaScript, Excel, Python, Node.js",True,Low,135
7,2022-09-09,"Python, Data Science, HTML","HTML, JavaScript, Python","JavaScript, Node.js, AI",False,Low,1365
8,2023-05-26,"SQL, Node.js, Java, Excel, AI","HTML, CSS, SQL, Data Science","CSS, Python, Node.js, Machine Learning, Blockchain",False,Low,6315
9,2022-06-24,"Java, JavaScript, HTML, Node.js","HTML, Excel, SQL","CSS, JavaScript, SQL, AI, Data Science",False,Low,2120
10,2022-07-10,"Java, Blockchain, JavaScript","HTML, Python, Node.js","Machine Learning, AI, Blockchain, Data Science",False,Medium,1066
11,2023-01-14,"Excel, Python","HTML, CSS, JavaScript, Excel, Python","CSS, JavaScript, Machine Learning, AI, Blockchain, Data Science",False,Low,2585
12,2023-01-02,Python,"HTML, CSS, Excel, Python","HTML, Machine Learning, AI, Blockchain",True,Low,746
13,2022-03-29,"CSS, Java, Machine Learning, HTML, AI","HTML, CSS, Excel, SQL","HTML, CSS, JavaScript, Java, Machine Learning, AI, Data Science",False,High,6038
14,2023-01-09,"JavaScript, Excel, Machine Learning, Node.js","JavaScript, SQL","HTML, JavaScript, Excel, Python, Machine Learning, AI, Blockchain",True,High,9526
15,2022-08-14,Java,"HTML, CSS, JavaScript, Java","HTML, SQL, Machine Learning, Data Science",True,Low,6414
16,2023-09-08,"Machine Learning, AI, HTML, Java","CSS, SQL, Node.js","Excel, Python, Blockchain",True,Low,3933
17,2023-11-07,"Data Science, SQL, Blockchain, AI, HTML","HTML, Excel","HTML, Python, Data Science",True,Medium,570
18,2022-11-25,"Java, Blockchain, SQL, HTML, Machine Learning","CSS, JavaScript, Excel, Python, SQL","SQL, Java, Data Science",True,Medium,1947
19,2023-04-28,Excel,Blockchain,"JavaScript, Excel, Python, Java, AI, Data Science",True,High,3529
20,2022-05-28,"Java, JavaScript","CSS, AI","Python, Machine Learning, AI, Data Science",False,Low,1698
21,2022-10-09,"HTML, Blockchain","HTML, CSS, JavaScript, Excel, Data Science","JavaScript, Python, Machine Learning, Blockchain",True,Medium,4106
22,2023-05-23,"Excel, Python, HTML",HTML,"Excel, Machine Learning, AI, Data Science",True,Medium,5755
23,2022-09-24,"HTML, Data Science, Java",CSS,"CSS, Node.js, Machine Learning, AI, Blockchain",True,Low,704
24,2023-10-30,SQL,"HTML, JavaScript","Excel, Python, SQL, Node.js, Machine Learning, AI",True,High,448
25,2023-10-14,"JavaScript, CSS, Node.js, Machine Learning","HTML, CSS, Excel","HTML, CSS, JavaScript, Python, Node.js, Machine Learning, AI, Data Science",False,High,9829
26,2022-04-25,HTML,"HTML, CSS, JavaScript, Excel, SQL","JavaScript, Node.js, AI, Blockchain, Data Science",True,Low,1365
27,2023-03-21,"Java, JavaScript","HTML, Node.js","CSS, JavaScript, Python, SQL, Java, Machine Learning, Blockchain",False,High,1544
28,2022-07-31,"JavaScript, Java, AI","Python, Java","HTML, JavaScript, Python, Java, Machine Learning, AI",True,High,2453
29,2023-05-16,Data Science,"JavaScript, Excel, Python, Blockchain","JavaScript, Excel, Node.js, Machine Learning, AI, Data Science",True,High,855
30,2022-09-17,"Blockchain, SQL, Data Science, Machine Learning, Node.js","HTML, JavaScript, SQL","CSS, Node.js, Machine Learning, AI, Blockchain",False,High,704
31,2023-10-27,Python,"HTML, Excel, Python, Java","Java, Machine Learning, AI, Data Science",False,Low,324
32,2023-11-08,"Blockchain, Excel, Java","CSS, Excel, Python, SQL","CSS, JavaScript, Excel, Python, Machine Learning, AI, Blockchain",True,High,237
33,2022-01-12,"HTML, Blockchain, AI, Node.js, Java","CSS, SQL","AI, Blockchain, Data Science",False,Medium,1425
34,2022-09-06,"Blockchain, Excel","CSS, Excel, Python, Machine Learning","HTML, Java, Node.js, Machine Learning, Blockchain",True,Medium,6182
35,2023-02-12,"Blockchain, Data Science, HTML, Node.js","HTML, Excel","SQL, AI, Blockchain",False,Low,90
36,2023-01-14,AI,"HTML, CSS, Python, Java, AI","HTML, Java, Node.js, Machine Learning, Blockchain, Data Science",False,Low,6182
37,2023-07-03,"Data Science, Excel, Node.js","Excel, Python, Java",Blockchain,False,Low,19
38,2023-02-18,"SQL, Machine Learning","HTML, JavaScript, Java, Node.js","CSS, Excel, SQL, Java, AI, Data Science",False,Medium,9436
39,2023-04-15,"Excel, Node.js, Python, JavaScript, SQL",HTML,"CSS, Python, SQL, Node.js, Machine Learning, AI",False,High,2351
40,2023-03-11,Blockchain,"HTML, CSS, Python, Node.js","CSS, Java, Node.js, Machine Learning, Blockchain, Data Science",True,High,3383
41,2023-03-09,Data Science,"HTML, SQL","SQL, Machine Learning, Data Science",False,High,340
42,2022-12-04,"CSS, AI, Java","HTML, Excel, Node.js","HTML, Machine Learning, AI, Data Science",True,Medium,8010
43,2023-04-20,HTML,"Excel, SQL, Node.js","JavaScript, SQL, AI, Blockchain, Data Science",False,Low,3418
44,2023-10-17,JavaScript,"HTML, CSS, Excel, Java","CSS, Python, Java, Node.js, Machine Learning, AI",False,High,704
45,2022-12-22,"Excel, CSS, Data Science, HTML","HTML, CSS, JavaScript, Excel, Java, Node.js","JavaScript, SQL, Java, Node.js, AI, Data Science",False,Low,3954
46,2023-09-21,"Node.js, HTML","CSS, Excel, SQL, AI","CSS, SQL, Machine Learning, AI, Data Science",False,Low,1044
47,2022-08-26,"Excel, CSS","CSS, Excel, SQL","CSS, SQL, AI",True,Medium,504
48,2022-09-19,"SQL, Python, Blockchain, CSS, Data Science","HTML, CSS, JavaScript, Java","Excel, SQL, Java, Machine Learning, Blockchain, Data Science",True,High,8843
49,2022-05-20,"Python, AI, JavaScript, SQL",Unknown,"HTML, Excel, SQL, Java, AI, Blockchain, Data Science",False,High,6879
50,2023-01-07,"Java, Excel, Blockchain, Node.js, AI","HTML, CSS, Python, Node.js","CSS, Excel, AI, Blockchain, Data Science",True,High,5165
51,2023-02-06,"CSS, Java, Excel, Node.js","HTML, Excel","JavaScript, Excel, AI, Blockchain",False,Low,6975
52,2023-05-03,"Machine Learning, HTML","HTML, CSS, Excel, Python, Node.js, Data Science","HTML, CSS, Excel, Python, SQL, Node.js, AI, Blockchain",True,Medium,4280
53,2022-02-19,Blockchain,"HTML, Java","SQL, Data Science",True,Low,3514
54,2023-12-05,"Python, SQL","HTML, CSS, JavaScript, Excel, SQL","SQL, Machine Learning, AI, Blockchain, Data Science",False,Medium,340
55,2022-04-13,"Excel, Node.js, Data Science, AI, JavaScript","HTML, JavaScript, Java, Node.js, AI","HTML, JavaScript, Python, SQL, Node.js, Machine Learning",False,Medium,1308
56,2023-01-10,"AI, Blockchain, Node.js, Python, HTML","JavaScript, SQL, Java","CSS, SQL, Java, Blockchain, Data Science",False,Low,208
57,2023-02-27,"HTML, Data Science","HTML, CSS","CSS, JavaScript, Python, Node.js, Machine Learning, AI, Data Science",False,Medium,6416
58,2023-11-13,Blockchain,"CSS, Excel, Node.js, Data Science","HTML, Excel, Python, Data Science",True,Low,188
59,2022-08-30,"AI, CSS, SQL, HTML, Data Science","HTML, CSS, Excel","HTML, CSS, SQL, AI",False,High,1173
60,2023-09-19,"Machine Learning, SQL","HTML, CSS, Excel, Python, SQL","HTML, Node.js, Machine Learning, Blockchain",False,Medium,6182
61,2022-11-18,"Node.js, Data Science, Blockchain, Python","HTML, CSS, JavaScript, SQL","CSS, Excel, SQL, Machine Learning, AI, Blockchain, Data Science",False,Medium,3084
62,2022-08-14,AI,"JavaScript, SQL, Java, Node.js","Node.js, Machine Learning, AI, Blockchain",True,High,7621
63,2022-11-17,Java,"HTML, Python, SQL","HTML, CSS, Python, Java, Node.js, AI, Blockchain",True,High,3215
